department_id,department_name,month,year,total_admissions,avg_length_of_stay,avg_cost,total_revenue,occupancy_rate,nurse_patient_ratio
DEPT004,Oncology,4,2022,68,7.2,9169,612221,0.73,2.0
DEPT004,Oncology,5,2022,166,4.3,9463,1551441,0.66,2.4
DEPT004,Oncology,6,2022,120,3.5,7595,943810,0.77,1.2
DEPT004,Oncology,7,2022,109,2.7,12562,1414573,0.73,1.8
DEPT004,Oncology,8,2022,161,6.9,4932,799035,0.81,2.4
DEPT004,Oncology,9,2022,168,5.1,4587,743696,0.76,1.5
DEPT004,Oncology,10,2022,149,5.1,6826,1021818,0.68,2.6
DEPT004,Oncology,11,2022,114,8.2,4986,558325,0.81,2.5
DEPT004,Oncology,12,2022,106,7.9,5426,594524,0.81,1.3
DEPT005,Pediatrics,1,2022,139,7.0,9259,1228945,0.78,1.5
DEPT005,Pediatrics,2,2022,70,3.5,5216,363078,0.79,2.3
DEPT005,Pediatrics,3,2022,86,5.1,13373,1171790,0.69,2.4
DEPT005,Pediatrics,4,2022,103,2.9,13769,1438797,0.84,1.9
DEPT005,Pediatrics,5,2022,85,4.3,13605,1192711,0.74,2.4
DEPT005,Pediatrics,6,2022,171,3.3,5118,878810,0.65,2.6
DEPT005,Pediatrics,7,2022,69,2.8,8267,589802,0.75,1.3
DEPT005,Pediatrics,8,2022,111,2.9,7028,775003,0.77,1.4
DEPT005,Pediatrics,9,2022,162,5.5,12787,2174812,0.73,1.9
DEPT005,Pediatrics,10,2022,168,6.9,12232,2121458,0.71,2.8
DEPT005,Pediatrics,11,2022,104,5.4,6847,711286,0.83,2.0
DEPT005,Pediatrics,12,2022,82,4.2,5960,491710,0.85,1.6
DEPT006,Internal Medicine,1,2022,67,6.6,12904,900760,0.65,2.4
DEPT006,Internal Medicine,2,2022,126,2.6,10563,1266753,0.85,2.6
DEPT006,Internal Medicine,3,2022,85,6.7,13021,1052118,0.86,1.4
DEPT006,Internal Medicine,4,2022,101,5.4,8386,848020,0.89,2.1
DEPT006,Internal Medicine,5,2022,109,5.3,7757,815567,0.91,2.7
DEPT006,Internal Medicine,6,2022,118,5.8,6173,725446,0.87,2.4
DEPT006,Internal Medicine,7,2022,159,6.2,9534,1582293,0.84,1.7
DEPT006,Internal Medicine,8,2022,82,2.8,13010,1093675,0.91,1.4
DEPT006,Internal Medicine,9,2022,156,3.5,13906,2171568,0.91,1.4
DEPT006,Internal Medicine,10,2022,69,8.4,7154,501438,0.78,2.6
DEPT006,Internal Medicine,11,2022,111,3.3,7892,890793,0.88,2.3
DEPT006,Internal Medicine,12,2022,112,5.8,13600,1553980,0.69,2.2
DEPT007,Surgery,1,2022,129,4.1,13871,1789609,0.7,1.9
DEPT007,Surgery,2,2022,78,4.9,11656,945845,0.7,1.8
DEPT007,Surgery,3,2022,173,6.3,4213,696285,0.84,1.9
DEPT007,Surgery,4,2022,153,2.7,9566,1521298,0.74,2.7
DEPT007,Surgery,5,2022,99,8.4,10345,1009032,0.88,2.2
DEPT007,Surgery,6,2022,135,6.0,13060,1821203,0.86,2.3
DEPT007,Surgery,7,2022,126,2.7,13302,1752527,0.73,1.3
DEPT007,Surgery,8,2022,81,7.1,6342,530705,0.77,1.5
DEPT007,Surgery,9,2022,116,6.2,4502,503552,0.86,2.7
DEPT007,Surgery,10,2022,72,2.7,10650,784746,0.9,2.1
DEPT007,Surgery,11,2022,126,4.6,7014,917769,0.72,2.5
DEPT007,Surgery,12,2022,74,8.1,5194,381917,0.66,1.3
DEPT008,Psychiatry,1,2022,64,6.4,4082,258374,0.75,2.4
DEPT008,Psychiatry,2,2022,116,4.2,13593,1549041,0.81,2.2
DEPT008,Psychiatry,3,2022,132,4.2,5220,663189,0.81,1.7
DEPT008,Psychiatry,4,2022,156,6.6,12933,2044720,0.89,2.8
DEPT008,Psychiatry,5,2022,160,7.5,5841,975425,0.82,1.2
DEPT008,Psychiatry,6,2022,94,7.6,5139,459934,0.78,2.1
DEPT008,Psychiatry,7,2022,133,5.4,10958,1395532,0.71,1.7
DEPT008,Psychiatry,8,2022,149,5.4,10747,1526968,0.89,2.5
DEPT008,Psychiatry,9,2022,135,6.4,4098,553057,0.73,2.3
DEPT008,Psychiatry,10,2022,131,5.9,9431,1247951,0.9,1.6
DEPT008,Psychiatry,11,2022,87,2.6,8959,817408,0.9,2.4
DEPT008,Psychiatry,12,2022,143,5.5,13450,1856818,0.66,1.3
DEPT009,Radiology,1,2022,67,5.8,12247,814939,0.91,2.0
DEPT009,Radiology,2,2022,112,5.5,4730,517820,0.87,1.2
DEPT009,Radiology,3,2022,84,5.7,13855,1207956,0.85,2.7
DEPT009,Radiology,4,2022,156,3.7,7248,1080120,0.68,2.6
DEPT009,Radiology,5,2022,156,6.4,6255,963244,0.82,2.5
DEPT009,Radiology,6,2022,84,5.0,12153,1035940,0.82,2.7
DEPT009,Radiology,7,2022,118,5.1,9570,1148347,0.9,1.9
DEPT009,Radiology,8,2022,98,5.7,12128,1208248,0.68,2.5
DEPT009,Radiology,9,2022,91,7.1,7301,659805,0.87,2.5
DEPT009,Radiology,10,2022,89,7.0,5910,531111,0.87,1.2
DEPT009,Radiology,11,2022,131,6.2,12075,1621168,0.72,1.6
DEPT009,Radiology,12,2022,132,7.4,4407,596754,0.67,2.3
DEPT010,Anesthesiology,1,2022,112,5.1,10983,1279784,0.89,1.6
DEPT010,Anesthesiology,2,2022,94,2.6,9726,959369,0.67,2.5
DEPT010,Anesthesiology,3,2022,90,2.9,11707,1081180,0.66,1.6
DEPT010,Anesthesiology,4,2022,165,2.9,4398,760456,0.73,2.0
DEPT010,Anesthesiology,5,2022,69,3.5,12979,908886,0.73,2.0
DEPT010,Anesthesiology,6,2022,125,5.5,8980,1082907,0.91,2.2
DEPT010,Anesthesiology,7,2022,149,5.4,8642,1336407,0.74,2.5
DEPT010,Anesthesiology,8,2022,145,6.3,11314,1720500,0.83,2.0
DEPT010,Anesthesiology,9,2022,156,3.8,9184,1388776,0.78,1.6
DEPT010,Anesthesiology,10,2022,134,8.0,9160,1226699,0.84,2.8
DEPT010,Anesthesiology,11,2022,117,6.4,12754,1489467,0.67,1.8
DEPT010,Anesthesiology,12,2022,108,6.0,13534,1396181,0.69,1.7
DEPT011,Obstetrics,1,2022,75,5.2,9600,749039,0.85,2.1
DEPT011,Obstetrics,2,2022,112,7.4,10330,1155118,0.76,1.9
DEPT011,Obstetrics,3,2022,82,7.6,6358,545819,0.77,2.5
DEPT011,Obstetrics,4,2022,132,3.0,12564,1633266,0.67,2.2
DEPT011,Obstetrics,5,2022,129,3.6,7265,909066,0.89,1.5
DEPT011,Obstetrics,6,2022,77,8.1,9127,672038,0.81,1.6
DEPT011,Obstetrics,7,2022,126,5.9,8893,1142451,0.76,2.3
DEPT011,Obstetrics,8,2022,126,8.3,10130,1290985,0.88,2.4
DEPT011,Obstetrics,9,2022,162,7.9,7169,1177756,0.75,1.7
DEPT011,Obstetrics,10,2022,161,3.2,6240,1000593,0.67,2.4
DEPT011,Obstetrics,11,2022,89,7.2,8542,793435,0.8,2.3
DEPT011,Obstetrics,12,2022,62,5.4,6777,429089,0.67,1.7
DEPT012,Gastroenterology,1,2022,164,7.2,4981,811649,0.67,2.0
DEPT012,Gastroenterology,2,2022,66,5.4,8265,565592,0.91,1.9
DEPT012,Gastroenterology,3,2022,146,3.2,8269,1241091,0.69,2.4
DEPT012,Gastroenterology,4,2022,82,7.8,6647,563340,0.88,2.4
DEPT012,Gastroenterology,5,2022,173,8.2,10016,1657254,0.8,2.3
DEPT012,Gastroenterology,6,2022,174,7.3,9173,1641589,0.8,1.3
DEPT012,Gastroenterology,7,2022,178,7.7,9724,1756330,0.71,2.1
DEPT012,Gastroenterology,8,2022,61,7.2,5396,344821,0.77,1.6
DEPT012,Gastroenterology,9,2022,168,5.0,11288,1887798,0.84,1.8
DEPT012,Gastroenterology,10,2022,92,7.2,4763,419658,0.75,1.5
DEPT012,Gastroenterology,11,2022,176,8.5,8193,1504129,0.67,1.9
DEPT012,Gastroenterology,12,2022,161,3.1,9218,1471150,0.76,2.2
DEPT013,Dermatology,1,2022,170,4.8,7274,1177027,0.8,1.9
DEPT013,Dermatology,2,2022,78,5.1,8368,659880,0.75,1.9
DEPT013,Dermatology,3,2022,130,8.3,8023,1039599,0.84,1.4
DEPT013,Dermatology,4,2022,178,5.3,12905,2290985,0.72,2.5
DEPT013,Dermatology,5,2022,127,8.4,11301,1365679,0.77,2.3
DEPT013,Dermatology,6,2022,132,3.0,8255,1088857,0.69,1.7
DEPT013,Dermatology,7,2022,142,6.5,6697,945878,0.73,2.6
DEPT013,Dermatology,8,2022,94,5.7,8571,769532,0.68,2.0
DEPT013,Dermatology,9,2022,61,3.0,10542,647857,0.67,1.3
DEPT013,Dermatology,10,2022,111,6.7,11560,1310894,0.74,1.3
DEPT013,Dermatology,11,2022,117,4.4,5173,580970,0.84,1.7
DEPT013,Dermatology,12,2022,69,5.5,5203,342028,0.76,1.6
DEPT014,Urology,1,2022,163,4.9,12076,2004509,0.75,1.9
DEPT014,Urology,2,2022,145,4.9,4861,685389,0.8,1.9
DEPT014,Urology,3,2022,87,7.9,11605,1027852,0.77,2.5
DEPT014,Urology,4,2022,132,8.3,9968,1301811,0.91,2.4
DEPT014,Urology,5,2022,174,2.6,7525,1302598,0.83,1.5
DEPT014,Urology,6,2022,157,4.8,5312,794885,0.88,2.0
DEPT014,Urology,7,2022,125,5.5,7664,988183,0.86,1.3
DEPT014,Urology,8,2022,94,6.9,9482,906474,0.84,1.6
DEPT014,Urology,9,2022,145,4.8,10638,1472329,0.82,1.4
DEPT014,Urology,10,2022,64,6.9,12522,814393,0.86,2.3
DEPT014,Urology,11,2022,144,4.3,5014,730349,0.87,1.3
DEPT014,Urology,12,2022,108,7.6,5751,598198,0.86,2.1
DEPT015,Nephrology,1,2022,120,3.3,7459,910796,0.75,2.7
DEPT015,Nephrology,2,2022,149,7.8,11896,1705178,0.91,2.7
DEPT015,Nephrology,3,2022,106,5.5,4161,458808,0.79,2.7
DEPT015,Nephrology,4,2022,170,2.9,9548,1657125,0.84,2.0
DEPT015,Nephrology,5,2022,145,6.5,9241,1390693,0.89,1.9
DEPT015,Nephrology,6,2022,61,7.2,4481,277967,0.78,1.5
DEPT015,Nephrology,7,2022,144,8.0,6224,936863,0.9,2.8
DEPT015,Nephrology,8,2022,170,4.6,9830,1685032,0.79,1.8
DEPT015,Nephrology,9,2022,161,2.6,8884,1474073,0.8,1.4
DEPT015,Nephrology,10,2022,134,7.5,6429,821721,0.67,2.5
DEPT015,Nephrology,11,2022,122,7.6,10048,1269676,0.86,2.6
DEPT015,Nephrology,12,2022,122,6.5,10874,1294575,0.74,1.4
DEPT016,Pulmonology,1,2022,121,6.0,9892,1193410,0.73,1.6
DEPT016,Pulmonology,2,2022,112,7.9,12489,1368587,0.72,2.2
DEPT016,Pulmonology,3,2022,141,6.9,7272,1016476,0.86,2.3
DEPT016,Pulmonology,4,2022,110,4.0,6993,770592,0.71,2.0
DEPT016,Pulmonology,5,2022,142,6.9,4700,687226,0.76,1.5
DEPT016,Pulmonology,6,2022,78,3.6,8893,659913,0.79,1.3
DEPT016,Pulmonology,7,2022,151,3.6,9557,1501428,0.73,1.8
DEPT016,Pulmonology,8,2022,84,5.2,14000,1172681,0.72,2.8
DEPT016,Pulmonology,9,2022,163,7.1,4603,762011,0.82,1.3
DEPT016,Pulmonology,10,2022,108,8.1,7673,795295,0.68,2.3
DEPT016,Pulmonology,11,2022,143,6.9,5942,855354,0.67,2.3
DEPT016,Pulmonology,12,2022,73,3.5,6603,482051,0.72,2.4
DEPT000,Emergency Medicine,1,2023,102,3.0,8513,871899,0.78,1.7
DEPT000,Emergency Medicine,2,2023,96,5.9,6975,641738,0.71,2.4
DEPT000,Emergency Medicine,3,2023,149,2.8,13518,1985900,0.83,2.2
DEPT000,Emergency Medicine,4,2023,134,6.3,13294,1763832,0.83,1.4
DEPT000,Emergency Medicine,5,2023,170,4.1,12675,2156719,0.8,1.3
DEPT000,Emergency Medicine,6,2023,182,4.4,12048,2269049,0.74,1.8
DEPT000,Emergency Medicine,7,2023,148,7.1,6218,880865,0.74,1.3
DEPT000,Emergency Medicine,8,2023,77,3.3,14230,1148734,0.84,2.2
DEPT000,Emergency Medicine,9,2023,67,5.8,8428,547921,0.92,2.0
DEPT000,Emergency Medicine,10,2023,162,7.5,8388,1406416,0.8,2.8
DEPT000,Emergency Medicine,11,2023,162,7.1,10094,1591883,0.82,1.9
DEPT000,Emergency Medicine,12,2023,102,8.0,12551,1228130,0.87,2.4
DEPT001,Cardiology,1,2023,100,4.8,5842,577075,0.87,2.0
DEPT001,Cardiology,2,2023,145,3.9,7661,1109370,0.7,2.0
DEPT001,Cardiology,3,2023,72,6.8,12251,852506,0.9,2.7
DEPT001,Cardiology,4,2023,69,3.6,7009,480608,0.74,1.6
DEPT001,Cardiology,5,2023,151,6.3,9732,1484474,0.83,2.5
DEPT001,Cardiology,6,2023,171,4.0,10978,1947458,0.78,2.0
DEPT001,Cardiology,7,2023,131,5.7,4373,585261,0.68,1.5
DEPT001,Cardiology,8,2023,128,5.9,12240,1570344,0.78,1.8
DEPT001,Cardiology,9,2023,165,7.9,7018,1125302,0.85,2.2
DEPT001,Cardiology,10,2023,72,2.5,11298,830658,0.76,1.6
DEPT001,Cardiology,11,2023,93,5.6,5458,511647,0.7,2.2
DEPT001,Cardiology,12,2023,73,6.4,7670,549151,0.7,2.7
DEPT002,Orthopedics,1,2023,173,6.0,12171,2014687,0.75,2.6
DEPT002,Orthopedics,2,2023,140,7.8,7122,949750,0.69,1.4
DEPT002,Orthopedics,3,2023,183,7.2,11416,2090875,0.87,2.2
DEPT002,Orthopedics,4,2023,129,2.9,9478,1200356,0.74,2.4
DEPT002,Orthopedics,5,2023,100,6.8,13743,1410268,0.89,2.2
DEPT002,Orthopedics,6,2023,128,6.4,8403,1026586,0.91,2.6
DEPT002,Orthopedics,7,2023,179,7.0,13373,2347624,0.91,2.7
DEPT002,Orthopedics,8,2023,116,4.6,10464,1156694,0.86,2.2
DEPT002,Orthopedics,9,2023,85,7.5,5348,446408,0.73,1.2
DEPT002,Orthopedics,10,2023,67,2.7,13918,945169,0.9,2.3
DEPT002,Orthopedics,11,2023,189,5.2,7557,1453752,0.89,2.6
DEPT002,Orthopedics,12,2023,88,4.5,13861,1224942,0.69,1.7
DEPT003,Neurology,1,2023,126,7.9,11258,1450138,0.85,1.7
DEPT003,Neurology,2,2023,76,5.7,11088,839369,0.84,1.9
DEPT003,Neurology,3,2023,98,5.8,9490,911080,0.77,2.0
DEPT003,Neurology,4,2023,64,7.5,13792,901458,0.65,1.2
DEPT003,Neurology,5,2023,151,4.5,9985,1488271,0.7,2.5
DEPT003,Neurology,6,2023,127,4.7,6246,769173,0.66,2.5
DEPT003,Neurology,7,2023,162,6.5,14278,2298020,0.87,1.2
DEPT003,Neurology,8,2023,99,8.1,6432,649143,0.82,1.9
DEPT003,Neurology,9,2023,127,6.3,13052,1598493,0.86,1.6
DEPT003,Neurology,10,2023,166,8.4,13666,2155525,0.92,2.6
DEPT003,Neurology,11,2023,150,4.5,4438,641060,0.8,1.4
DEPT003,Neurology,12,2023,79,4.6,12173,1007824,0.78,2.6
DEPT004,Oncology,1,2023,96,5.5,9931,923318,0.66,1.9
DEPT004,Oncology,2,2023,148,4.3,12108,1815084,0.76,2.7
DEPT004,Oncology,3,2023,99,4.4,11054,1048921,0.66,1.9
DEPT004,Oncology,4,2023,143,7.8,8915,1300483,0.76,2.2
DEPT004,Oncology,5,2023,138,5.7,10733,1529767,0.67,2.2
DEPT004,Oncology,6,2023,118,4.0,13806,1704609,0.83,2.7
DEPT004,Oncology,7,2023,89,4.3,13020,1165831,0.7,2.3
DEPT004,Oncology,8,2023,163,6.2,13940,2380613,0.75,1.3
DEPT004,Oncology,9,2023,179,4.7,13377,2454879,0.87,1.5
DEPT004,Oncology,10,2023,119,6.2,11913,1382091,0.79,2.0
DEPT004,Oncology,11,2023,171,6.0,10281,1840789,0.73,2.4
DEPT004,Oncology,12,2023,126,6.0,4363,556980,0.88,1.7
DEPT005,Pediatrics,1,2023,160,6.8,6617,1040131,0.91,2.7
DEPT005,Pediatrics,2,2023,94,6.8,6466,601360,0.85,1.5
DEPT005,Pediatrics,3,2023,142,7.3,11852,1724922,0.82,1.3
DEPT005,Pediatrics,4,2023,164,7.9,8613,1401235,0.78,1.3
DEPT005,Pediatrics,5,2023,152,8.4,14046,2229633,0.91,2.5
DEPT005,Pediatrics,6,2023,180,5.5,13680,2483485,0.81,2.4
DEPT005,Pediatrics,7,2023,161,6.6,8778,1377470,0.89,1.4
DEPT005,Pediatrics,8,2023,114,8.3,9356,1091908,0.78,2.0
DEPT005,Pediatrics,9,2023,186,4.7,12235,2258212,0.87,2.1
DEPT005,Pediatrics,10,2023,106,8.1,6146,663687,0.77,1.3
DEPT005,Pediatrics,11,2023,67,2.5,12888,903432,0.82,2.7
DEPT005,Pediatrics,12,2023,73,4.7,8965,650182,0.71,2.5
DEPT006,Internal Medicine,1,2023,173,8.5,6815,1160912,0.86,2.1
DEPT006,Internal Medicine,2,2023,168,3.8,7899,1347872,0.86,2.3
DEPT006,Internal Medicine,3,2023,180,7.9,14074,2441639,0.89,1.3
DEPT006,Internal Medicine,4,2023,102,8.1,11118,1187970,0.88,1.5
DEPT006,Internal Medicine,5,2023,173,5.8,6649,1183568,0.82,1.3
DEPT006,Internal Medicine,6,2023,177,5.4,9602,1660069,0.89,1.8
DEPT006,Internal Medicine,7,2023,189,2.8,5122,948174,0.81,2.5
DEPT006,Internal Medicine,8,2023,189,7.4,7411,1434123,0.68,2.5
DEPT006,Internal Medicine,9,2023,163,7.5,6093,1000482,0.65,2.5
DEPT006,Internal Medicine,10,2023,118,6.0,14578,1767106,0.85,2.4
DEPT006,Internal Medicine,11,2023,91,5.6,11008,1049547,0.71,1.4
DEPT006,Internal Medicine,12,2023,171,5.0,8009,1392366,0.73,1.6
DEPT007,Surgery,1,2023,130,5.4,7721,959010,0.91,1.2
DEPT007,Surgery,2,2023,87,6.2,5666,478951,0.69,1.8
DEPT007,Surgery,3,2023,162,3.5,14599,2435160,0.68,1.6
DEPT007,Surgery,4,2023,180,7.0,13764,2594410,0.86,1.9
DEPT007,Surgery,5,2023,132,7.2,9871,1348896,0.81,2.1
DEPT007,Surgery,6,2023,178,7.5,11215,2015037,0.92,1.4
DEPT007,Surgery,7,2023,180,5.8,9655,1793396,0.66,2.7
DEPT007,Surgery,8,2023,101,3.4,9147,897600,0.9,1.6
DEPT007,Surgery,9,2023,89,5.1,11830,1031643,0.73,1.9
DEPT007,Surgery,10,2023,147,6.9,9649,1453693,0.86,2.3
DEPT007,Surgery,11,2023,106,5.2,11772,1213507,0.72,2.7
DEPT007,Surgery,12,2023,127,4.0,6204,775696,0.84,2.0
DEPT008,Psychiatry,1,2023,170,8.3,11358,2009296,0.89,1.5
DEPT008,Psychiatry,2,2023,73,4.6,7904,556086,0.72,1.5
DEPT008,Psychiatry,3,2023,152,3.4,8216,1254801,0.71,1.8
DEPT008,Psychiatry,4,2023,75,7.1,6228,461495,0.81,2.7
DEPT008,Psychiatry,5,2023,70,7.3,5021,350906,0.88,1.6
DEPT008,Psychiatry,6,2023,130,2.7,5475,677119,0.82,1.7
DEPT008,Psychiatry,7,2023,142,7.3,13765,2034147,0.89,2.2
DEPT008,Psychiatry,8,2023,150,5.5,13314,2072658,0.8,2.0
DEPT008,Psychiatry,9,2023,69,2.7,8430,600574,0.86,2.8
DEPT008,Psychiatry,10,2023,78,4.7,12748,983032,0.72,2.5
DEPT008,Psychiatry,11,2023,66,7.2,14560,1002398,0.85,1.8
DEPT008,Psychiatry,12,2023,130,3.9,7677,960381,0.69,2.2
DEPT009,Radiology,1,2023,90,4.5,6512,608970,0.89,1.4
DEPT009,Radiology,2,2023,145,3.3,9879,1383468,0.71,1.4
DEPT009,Radiology,3,2023,118,5.4,8805,994333,0.75,2.3
DEPT009,Radiology,4,2023,171,4.4,5476,946291,0.71,2.8
DEPT009,Radiology,5,2023,163,7.3,12352,1978116,0.87,2.0
DEPT009,Radiology,6,2023,137,7.1,6310,878093,0.81,1.6
DEPT009,Radiology,7,2023,172,6.2,8134,1373189,0.81,1.8
DEPT009,Radiology,8,2023,153,4.3,11611,1862130,0.78,1.8
DEPT009,Radiology,9,2023,95,4.6,8114,747353,0.7,1.5
DEPT009,Radiology,10,2023,92,7.7,13786,1302755,0.74,2.5
DEPT009,Radiology,11,2023,81,2.7,9850,813559,0.81,2.1
DEPT009,Radiology,12,2023,95,8.0,10789,1054663,0.8,2.6
DEPT010,Anesthesiology,1,2023,137,5.5,4504,596921,0.74,1.7
DEPT010,Anesthesiology,2,2023,152,6.6,5905,908876,0.73,2.4
DEPT010,Anesthesiology,3,2023,158,5.2,4793,771715,0.9,2.5
DEPT010,Anesthesiology,4,2023,66,5.1,12542,791304,0.8,1.6
DEPT010,Anesthesiology,5,2023,80,8.0,13966,1168711,0.74,2.1
DEPT010,Anesthesiology,6,2023,72,2.8,5304,387115,0.65,1.4
DEPT010,Anesthesiology,7,2023,164,6.1,11561,1977987,0.78,1.6
DEPT010,Anesthesiology,8,2023,117,7.4,5738,648720,0.86,2.7
DEPT010,Anesthesiology,9,2023,127,8.0,10225,1247292,0.8,2.2
DEPT010,Anesthesiology,10,2023,137,2.8,4649,646912,0.89,2.3
DEPT010,Anesthesiology,11,2023,97,6.8,9668,960176,0.87,1.6
DEPT010,Anesthesiology,12,2023,63,7.9,8430,527782,0.72,1.7
DEPT011,Obstetrics,1,2023,97,6.9,9351,891334,0.9,2.5
DEPT011,Obstetrics,2,2023,164,8.5,14177,2302048,0.84,1.9
DEPT011,Obstetrics,3,2023,121,5.2,9376,1084638,0.7,1.7
DEPT011,Obstetrics,4,2023,88,5.5,11284,1001454,0.88,1.3
DEPT011,Obstetrics,5,2023,71,6.0,8846,621768,0.86,2.7
DEPT011,Obstetrics,6,2023,163,3.4,5192,804394,0.84,2.2
DEPT011,Obstetrics,7,2023,81,7.2,9655,815681,0.7,1.6
DEPT011,Obstetrics,8,2023,107,5.0,11285,1261572,0.8,1.6
DEPT011,Obstetrics,9,2023,182,7.3,8642,1594057,0.81,1.8
DEPT011,Obstetrics,10,2023,140,4.5,11983,1614076,0.71,1.4
DEPT011,Obstetrics,11,2023,150,7.5,10626,1652704,0.69,1.8
DEPT011,Obstetrics,12,2023,177,5.6,11926,2145837,0.79,2.6
DEPT012,Gastroenterology,1,2023,163,5.4,5320,904492,0.69,1.2
DEPT012,Gastroenterology,2,2023,100,2.8,9683,966127,0.83,1.5
DEPT012,Gastroenterology,3,2023,141,5.8,10116,1459238,0.75,1.4
DEPT012,Gastroenterology,4,2023,185,7.5,12675,2427412,0.68,1.4
DEPT012,Gastroenterology,5,2023,106,5.8,9914,1102229,0.75,2.4
DEPT012,Gastroenterology,6,2023,132,5.0,8602,1164426,0.73,1.3
DEPT012,Gastroenterology,7,2023,65,2.8,11947,806583,0.71,1.5
DEPT012,Gastroenterology,8,2023,73,5.1,9650,701458,0.72,2.1
DEPT012,Gastroenterology,9,2023,185,3.4,4726,911741,0.89,2.8
DEPT012,Gastroenterology,10,2023,76,7.8,12423,950058,0.72,2.3
DEPT012,Gastroenterology,11,2023,71,4.9,12000,887865,0.72,2.2
DEPT012,Gastroenterology,12,2023,78,6.4,12414,941241,0.91,2.1
DEPT013,Dermatology,1,2023,186,6.4,7180,1280529,0.81,2.7
DEPT013,Dermatology,2,2023,162,5.0,10237,1645301,0.75,2.5
DEPT013,Dermatology,3,2023,95,7.0,7525,747396,0.77,2.8
DEPT013,Dermatology,4,2023,103,2.7,14696,1497720,0.88,1.7
