age_group,gender,insurance_type,patient_count,avg_length_of_stay,avg_cost,readmission_rate
18-29,F,Aetna,254,4.5,6380,0.231
18-29,F,Aetna,139,7.0,7701,0.23
18-29,F,Aetna,148,5.5,3576,0.131
18-29,F,Anthem,208,4.0,11156,0.241
18-29,F,Anthem,154,5.1,3700,0.199
18-29,F,Anthem,232,7.3,9707,0.237
18-29,F,Anthem,215,2.6,4137,0.188
18-29,F,Anthem,114,4.9,8164,0.221
18-29,F,Blue Cross Blue Shield,278,2.2,11710,0.164
18-29,F,Blue Cross Blue Shield,250,6.5,7111,0.11
18-29,F,Blue Cross Blue Shield,265,4.7,4526,0.235
18-29,F,Blue Cross Blue Shield,238,5.3,5266,0.119
18-29,F,Cigna,144,3.3,10932,0.13
18-29,F,Cigna,150,4.8,9921,0.15
18-29,F,Cigna,271,2.9,7334,0.243
18-29,F,Cigna,161,7.3,4703,0.212
18-29,F,Cigna,59,7.8,11784,0.121
18-29,F,Cigna,271,7.2,9357,0.105
18-29,F,Health Net,114,3.2,8181,0.117
18-29,F,Health Net,82,6.2,5766,0.241
18-29,F,Health Net,99,7.6,6227,0.184
18-29,F,Health Net,244,4.4,7053,0.183
18-29,F,Health Net,145,3.9,7094,0.212
18-29,F,Health Net,246,7.6,6486,0.243
18-29,F,Health Net,89,5.1,10861,0.128
18-29,F,Health Net,191,6.1,5191,0.238
18-29,F,Health Net,164,6.7,4614,0.24
18-29,F,Humana,144,6.5,5319,0.103
18-29,F,Humana,108,5.5,6501,0.156
18-29,F,Humana,118,6.6,7825,0.158
18-29,F,Humana,245,3.0,5066,0.113
18-29,F,Humana,71,3.1,7923,0.237
18-29,F,Humana,64,6.7,8273,0.227
18-29,F,Humana,270,5.4,10306,0.207
18-29,F,Humana,202,2.9,5332,0.189
18-29,F,Humana,119,4.6,7459,0.16
18-29,F,Kaiser Permanente,162,7.1,7487,0.135
18-29,F,Kaiser Permanente,249,5.1,4520,0.204
18-29,F,Kaiser Permanente,223,6.8,11446,0.201
18-29,F,Kaiser Permanente,134,5.2,10601,0.154
18-29,F,Kaiser Permanente,260,7.4,8010,0.206
18-29,F,Kaiser Permanente,84,5.0,5468,0.142
18-29,F,Kaiser Permanente,239,3.9,5665,0.153
18-29,F,Medicaid,167,4.7,3248,0.141
18-29,F,Medicaid,181,3.2,4907,0.131
18-29,F,Medicaid,149,4.4,10791,0.101
18-29,F,Medicare,222,6.5,4046,0.114
18-29,F,Medicare,193,4.9,10014,0.229
18-29,F,Medicare,134,5.5,11525,0.236
18-29,F,Medicare,162,5.0,11750,0.123
18-29,F,Molina Healthcare,269,2.8,11490,0.217
18-29,F,Molina Healthcare,251,3.4,3595,0.107
18-29,F,Molina Healthcare,72,3.3,8326,0.19
18-29,F,Molina Healthcare,83,7.0,6052,0.177
18-29,F,Tricare,185,6.1,11470,0.101
18-29,F,Tricare,132,4.3,8639,0.134
18-29,F,Tricare,103,3.3,7659,0.187
18-29,F,Tricare,100,3.3,11588,0.11
18-29,F,UnitedHealthcare,72,5.5,8109,0.226
18-29,F,UnitedHealthcare,163,6.6,6827,0.157
18-29,F,UnitedHealthcare,225,4.3,4670,0.211
18-29,F,UnitedHealthcare,250,6.5,4046,0.164
18-29,M,Aetna,277,6.3,9399,0.216
18-29,M,Aetna,178,7.6,4167,0.224
18-29,M,Aetna,152,2.2,4041,0.206
18-29,M,Aetna,277,6.0,10981,0.182
18-29,M,Aetna,242,3.5,5354,0.13
18-29,M,Aetna,122,3.2,8964,0.213
18-29,M,Aetna,60,2.9,11391,0.23
18-29,M,Anthem,62,4.1,7365,0.239
18-29,M,Anthem,67,6.8,11203,0.169
18-29,M,Anthem,73,2.4,6135,0.196
18-29,M,Anthem,271,5.0,6667,0.163
18-29,M,Blue Cross Blue Shield,118,6.1,4238,0.211
18-29,M,Blue Cross Blue Shield,140,2.7,10512,0.15
18-29,M,Blue Cross Blue Shield,230,6.9,10290,0.14
18-29,M,Blue Cross Blue Shield,253,3.7,6860,0.15
18-29,M,Blue Cross Blue Shield,232,5.1,11600,0.181
18-29,M,Blue Cross Blue Shield,106,3.4,9389,0.123
18-29,M,Blue Cross Blue Shield,125,6.0,7631,0.236
18-29,M,Blue Cross Blue Shield,86,2.8,3207,0.147
18-29,M,Cigna,211,7.6,6479,0.162
18-29,M,Cigna,100,4.3,5993,0.109
18-29,M,Cigna,258,2.7,5243,0.248
18-29,M,Cigna,61,5.3,4028,0.2
18-29,M,Health Net,203,6.8,8326,0.112
18-29,M,Health Net,282,5.4,8967,0.224
18-29,M,Health Net,161,5.3,6048,0.209
18-29,M,Health Net,216,7.6,9823,0.137
18-29,M,Health Net,280,6.9,5368,0.157
18-29,M,Health Net,261,2.6,7040,0.177
18-29,M,Humana,217,5.6,3803,0.153
18-29,M,Humana,194,4.9,5286,0.115
18-29,M,Kaiser Permanente,252,3.0,4721,0.104
18-29,M,Kaiser Permanente,117,5.1,6078,0.139
18-29,M,Medicaid,256,3.4,5907,0.218
18-29,M,Medicaid,282,3.5,7847,0.111
18-29,M,Medicaid,97,5.7,5406,0.144
18-29,M,Medicaid,197,3.1,7724,0.162
18-29,M,Medicaid,102,6.1,6709,0.147
18-29,M,Medicaid,244,5.3,8156,0.119
18-29,M,Medicaid,201,6.0,10395,0.147
18-29,M,Medicare,283,3.4,5023,0.214
18-29,M,Medicare,213,6.9,11771,0.235
18-29,M,Medicare,89,4.6,10470,0.169
18-29,M,Medicare,243,6.2,7329,0.105
18-29,M,Medicare,92,5.1,10211,0.222
18-29,M,Medicare,186,3.6,7727,0.175
18-29,M,Medicare,103,3.6,11275,0.112
18-29,M,Medicare,187,5.6,3634,0.24
18-29,M,Molina Healthcare,227,4.7,8008,0.208
18-29,M,Molina Healthcare,108,6.5,9101,0.238
18-29,M,Molina Healthcare,151,6.4,5221,0.196
18-29,M,Molina Healthcare,93,4.0,7590,0.143
18-29,M,Molina Healthcare,68,4.1,5900,0.112
18-29,M,Tricare,226,6.5,5653,0.233
18-29,M,Tricare,74,3.2,5336,0.228
18-29,M,Tricare,206,4.9,6604,0.132
18-29,M,Tricare,212,6.1,9115,0.158
18-29,M,Tricare,56,5.7,9341,0.189
18-29,M,Tricare,169,5.1,7859,0.126
18-29,M,UnitedHealthcare,107,7.6,10647,0.121
18-29,M,UnitedHealthcare,120,6.3,7707,0.17
18-29,M,UnitedHealthcare,134,3.0,3323,0.119
18-29,M,UnitedHealthcare,124,3.7,4029,0.131
18-29,M,UnitedHealthcare,218,3.8,3967,0.137
18-29,M,UnitedHealthcare,224,6.6,11045,0.174
18-29,M,UnitedHealthcare,142,5.7,7374,0.179
18-29,M,UnitedHealthcare,78,3.9,9507,0.189
18-29,M,UnitedHealthcare,121,4.7,10149,0.224
30-39,F,Aetna,193,7.7,11442,0.208
30-39,F,Aetna,145,2.4,11484,0.238
30-39,F,Aetna,159,6.8,10292,0.22
30-39,F,Aetna,97,6.0,5943,0.189
30-39,F,Aetna,205,5.2,8245,0.174
30-39,F,Aetna,221,6.2,4554,0.119
30-39,F,Anthem,176,7.3,5076,0.104
30-39,F,Anthem,279,4.0,7500,0.173
30-39,F,Anthem,229,3.5,9614,0.206
30-39,F,Anthem,132,6.2,7170,0.104
30-39,F,Anthem,137,4.9,4552,0.238
30-39,F,Anthem,164,2.3,6503,0.199
30-39,F,Blue Cross Blue Shield,130,6.8,7195,0.171
30-39,F,Blue Cross Blue Shield,280,4.3,10747,0.144
30-39,F,Blue Cross Blue Shield,116,5.6,10579,0.164
30-39,F,Blue Cross Blue Shield,230,3.0,5917,0.209
30-39,F,Blue Cross Blue Shield,235,2.7,8517,0.211
30-39,F,Cigna,251,2.3,9608,0.118
30-39,F,Cigna,278,7.2,4792,0.195
30-39,F,Cigna,80,2.6,3718,0.113
30-39,F,Cigna,122,6.2,10035,0.138
30-39,F,Cigna,210,6.5,10317,0.208
30-39,F,Cigna,157,2.3,5706,0.119
30-39,F,Health Net,60,6.1,7829,0.227
30-39,F,Health Net,133,5.8,8731,0.228
30-39,F,Health Net,155,6.8,4350,0.119
30-39,F,Health Net,168,6.0,9496,0.21
30-39,F,Humana,149,4.4,8847,0.168
30-39,F,Humana,277,4.7,5642,0.142
30-39,F,Humana,272,5.4,5931,0.132
30-39,F,Humana,216,3.9,10191,0.148
30-39,F,Humana,119,4.3,3805,0.209
30-39,F,Humana,187,6.1,3248,0.16
30-39,F,Kaiser Permanente,145,6.9,9392,0.159
30-39,F,Kaiser Permanente,156,5.9,5875,0.164
30-39,F,Kaiser Permanente,234,2.8,3209,0.204
30-39,F,Kaiser Permanente,167,4.6,10869,0.218
30-39,F,Kaiser Permanente,198,5.3,10247,0.238
30-39,F,Kaiser Permanente,105,6.8,3234,0.128
30-39,F,Kaiser Permanente,251,7.6,11432,0.121
30-39,F,Medicaid,113,6.5,8666,0.236
30-39,F,Medicaid,66,3.8,5306,0.124
30-39,F,Medicaid,126,3.3,4755,0.209
30-39,F,Medicaid,225,2.3,5499,0.14
30-39,F,Medicaid,142,5.6,7204,0.123
30-39,F,Medicare,131,7.5,11428,0.163
30-39,F,Medicare,96,4.7,5255,0.115
30-39,F,Medicare,104,2.2,8481,0.117
30-39,F,Medicare,103,7.6,10787,0.151
30-39,F,Medicare,158,3.7,3545,0.214
30-39,F,Molina Healthcare,252,4.6,5869,0.141
30-39,F,Molina Healthcare,209,4.1,10453,0.169
30-39,F,Molina Healthcare,178,2.9,7776,0.224
30-39,F,Molina Healthcare,235,3.2,11419,0.16
30-39,F,Molina Healthcare,242,3.9,8565,0.22
30-39,F,Tricare,208,5.6,8558,0.11
30-39,F,Tricare,249,3.3,4246,0.129
30-39,F,Tricare,205,3.3,4908,0.157
30-39,F,Tricare,216,7.3,3649,0.248
30-39,F,UnitedHealthcare,157,5.6,7555,0.158
30-39,F,UnitedHealthcare,177,7.4,7645,0.182
30-39,F,UnitedHealthcare,124,4.6,6597,0.152
30-39,F,UnitedHealthcare,261,4.2,3729,0.214
30-39,F,UnitedHealthcare,103,7.8,9172,0.21
30-39,F,UnitedHealthcare,256,7.8,10051,0.147
30-39,M,Aetna,144,6.3,10320,0.243
30-39,M,Aetna,273,2.6,3750,0.158
30-39,M,Aetna,57,5.3,4878,0.194
30-39,M,Aetna,252,2.7,5275,0.126
30-39,M,Aetna,102,5.2,7938,0.138
30-39,M,Aetna,168,3.1,7381,0.175
30-39,M,Aetna,112,4.1,9315,0.246
30-39,M,Aetna,196,5.0,6057,0.131
30-39,M,Anthem,146,3.3,11480,0.151
30-39,M,Anthem,176,6.0,9431,0.199
30-39,M,Anthem,132,4.9,4885,0.236
30-39,M,Anthem,59,6.4,11035,0.17
30-39,M,Blue Cross Blue Shield,137,3.9,3837,0.209
30-39,M,Blue Cross Blue Shield,141,7.3,4087,0.126
30-39,M,Blue Cross Blue Shield,151,4.8,6023,0.203
30-39,M,Blue Cross Blue Shield,187,7.2,8629,0.225
30-39,M,Cigna,113,3.6,11629,0.117
30-39,M,Cigna,246,3.3,11705,0.16
30-39,M,Cigna,127,5.8,9866,0.117
30-39,M,Cigna,98,6.3,6370,0.209
30-39,M,Cigna,237,4.3,11377,0.242
30-39,M,Health Net,127,7.2,5333,0.197
30-39,M,Health Net,89,5.9,11590,0.187
30-39,M,Health Net,116,4.8,4155,0.102
30-39,M,Health Net,103,4.2,11251,0.104
30-39,M,Health Net,163,2.6,8512,0.202
30-39,M,Humana,67,5.4,5244,0.147
30-39,M,Humana,169,4.5,10442,0.215
30-39,M,Humana,284,5.2,11604,0.138
30-39,M,Humana,211,2.4,6621,0.195
30-39,M,Humana,186,6.3,7150,0.15
30-39,M,Humana,215,5.1,9487,0.134
30-39,M,Humana,136,2.3,10583,0.199
30-39,M,Kaiser Permanente,213,5.5,7887,0.183
30-39,M,Medicaid,271,5.2,8992,0.213
30-39,M,Medicare,78,7.5,7038,0.222
30-39,M,Medicare,158,7.4,5942,0.239
30-39,M,Medicare,178,6.8,5595,0.246
30-39,M,Medicare,248,2.8,10861,0.168
30-39,M,Molina Healthcare,280,5.2,6634,0.203
30-39,M,Molina Healthcare,66,3.4,4670,0.166
30-39,M,Molina Healthcare,79,6.6,10665,0.193
30-39,M,Molina Healthcare,115,5.9,7128,0.167
30-39,M,Molina Healthcare,270,4.7,3903,0.173
30-39,M,Molina Healthcare,137,4.5,8334,0.115
30-39,M,Tricare,229,7.5,8542,0.111
30-39,M,Tricare,73,3.1,4604,0.146
30-39,M,Tricare,116,5.0,3858,0.209
30-39,M,Tricare,283,2.3,8005,0.221
30-39,M,UnitedHealthcare,232,3.0,10735,0.151
30-39,M,UnitedHealthcare,259,6.2,7140,0.237
30-39,M,UnitedHealthcare,259,5.3,7128,0.124
30-39,M,UnitedHealthcare,95,3.3,6984,0.202
30-39,M,UnitedHealthcare,284,5.4,8606,0.117
30-39,M,UnitedHealthcare,70,6.8,5085,0.221
30-39,M,UnitedHealthcare,258,3.0,8337,0.169
30-39,M,UnitedHealthcare,93,5.1,9215,0.21
30-39,M,UnitedHealthcare,280,6.0,10695,0.114
30-39,M,UnitedHealthcare,235,5.7,11196,0.148
40-49,F,Aetna,124,5.7,9979,0.228
40-49,F,Aetna,260,2.5,4110,0.205
40-49,F,Aetna,93,6.3,4174,0.187
40-49,F,Aetna,132,4.2,6182,0.165
40-49,F,Anthem,155,7.4,10751,0.187
40-49,F,Anthem,69,6.7,3713,0.109
40-49,F,Anthem,129,4.3,5197,0.173
40-49,F,Anthem,214,4.5,3372,0.197
40-49,F,Anthem,116,7.7,4958,0.191
40-49,F,Anthem,244,7.7,6321,0.128
40-49,F,Blue Cross Blue Shield,59,6.2,5028,0.13
40-49,F,Blue Cross Blue Shield,57,2.5,8523,0.128
40-49,F,Blue Cross Blue Shield,107,7.6,8946,0.214
40-49,F,Blue Cross Blue Shield,208,4.5,8574,0.129
40-49,F,Blue Cross Blue Shield,106,3.7,8742,0.104
40-49,F,Blue Cross Blue Shield,233,5.2,9040,0.147
40-49,F,Cigna,277,3.1,6461,0.229
40-49,F,Cigna,55,5.7,11378,0.244
40-49,F,Cigna,185,4.6,7498,0.221
40-49,F,Cigna,264,3.6,10711,0.153
40-49,F,Cigna,65,5.5,4653,0.243
40-49,F,Cigna,148,6.1,9853,0.137
40-49,F,Cigna,218,2.7,7364,0.173
40-49,F,Cigna,116,3.4,8724,0.148
40-49,F,Cigna,189,4.4,4043,0.197
40-49,F,Health Net,72,4.4,10774,0.181
40-49,F,Health Net,176,6.5,11415,0.158
40-49,F,Health Net,259,7.3,10125,0.151
40-49,F,Health Net,240,4.1,9168,0.215
40-49,F,Humana,138,7.5,10776,0.164
40-49,F,Humana,261,5.6,3926,0.142
40-49,F,Humana,141,2.8,4142,0.196
40-49,F,Humana,72,2.4,10033,0.185
40-49,F,Humana,66,6.6,9539,0.208
40-49,F,Humana,56,5.1,4136,0.199
40-49,F,Humana,116,5.6,4953,0.185
40-49,F,Humana,55,7.4,8228,0.207
40-49,F,Humana,63,3.1,7986,0.193
40-49,F,Kaiser Permanente,97,6.3,7324,0.116
40-49,F,Kaiser Permanente,208,6.6,8727,0.212
40-49,F,Kaiser Permanente,118,4.6,5237,0.229
40-49,F,Kaiser Permanente,217,7.6,11265,0.175
40-49,F,Medicaid,153,7.1,8206,0.242
40-49,F,Medicaid,133,4.5,3895,0.246
40-49,F,Medicaid,70,2.9,7752,0.247
40-49,F,Medicare,140,7.6,10346,0.103
40-49,F,Medicare,269,2.8,11144,0.125
40-49,F,Medicare,192,7.2,4471,0.216
40-49,F,Medicare,223,3.8,4759,0.173
40-49,F,Medicare,170,4.7,10930,0.132
40-49,F,Medicare,229,5.6,7438,0.139
40-49,F,Molina Healthcare,116,6.0,5024,0.111
40-49,F,Molina Healthcare,83,3.7,4940,0.115
40-49,F,Molina Healthcare,240,5.2,3349,0.162
40-49,F,Molina Healthcare,177,6.6,6439,0.209
40-49,F,Tricare,219,4.2,7757,0.122
40-49,F,Tricare,257,5.1,6179,0.132
40-49,F,Tricare,77,5.9,7332,0.112
40-49,F,Tricare,245,3.1,11041,0.174
40-49,F,Tricare,165,3.8,10702,0.216
40-49,F,Tricare,197,3.1,4126,0.2
40-49,F,Tricare,222,4.8,9462,0.148
40-49,F,Tricare,260,5.7,6924,0.172
40-49,F,UnitedHealthcare,211,5.9,4322,0.183
40-49,F,UnitedHealthcare,77,6.4,7565,0.179
40-49,F,UnitedHealthcare,264,5.3,8103,0.126
40-49,F,UnitedHealthcare,69,3.8,10669,0.194
40-49,M,Aetna,93,7.2,11236,0.211
40-49,M,Aetna,103,7.2,9212,0.148
40-49,M,Aetna,123,5.1,5942,0.127
40-49,M,Aetna,190,5.6,3356,0.103
40-49,M,Aetna,66,7.0,6690,0.2
40-49,M,Aetna,170,6.9,10161,0.208
40-49,M,Aetna,140,7.6,9050,0.132
40-49,M,Aetna,126,7.2,6406,0.122
40-49,M,Anthem,188,6.4,9060,0.169
40-49,M,Anthem,232,5.5,8468,0.245
40-49,M,Anthem,175,7.7,4044,0.215
40-49,M,Anthem,181,4.2,5777,0.203
40-49,M,Anthem,219,5.5,5593,0.231
40-49,M,Anthem,220,7.1,11516,0.155
40-49,M,Blue Cross Blue Shield,55,6.5,6590,0.107
40-49,M,Blue Cross Blue Shield,107,6.8,6001,0.23
40-49,M,Blue Cross Blue Shield,100,5.6,3522,0.244
40-49,M,Blue Cross Blue Shield,83,7.6,4094,0.166
40-49,M,Blue Cross Blue Shield,265,7.2,5457,0.157
40-49,M,Cigna,107,3.6,6063,0.125
40-49,M,Cigna,103,6.1,7882,0.155
40-49,M,Cigna,218,2.8,5369,0.246
40-49,M,Cigna,113,5.0,9852,0.235
40-49,M,Cigna,157,5.8,3968,0.208
40-49,M,Health Net,142,5.7,4444,0.203
40-49,M,Health Net,280,2.6,7810,0.23
40-49,M,Humana,113,7.6,10207,0.138
40-49,M,Humana,109,7.0,4565,0.196
40-49,M,Humana,218,3.3,3382,0.105
40-49,M,Humana,122,5.0,3918,0.187
40-49,M,Humana,206,3.7,10280,0.142
40-49,M,Humana,83,7.4,9162,0.25
40-49,M,Humana,119,5.1,8762,0.181
40-49,M,Humana,253,3.6,6408,0.159
40-49,M,Kaiser Permanente,271,6.4,8547,0.137
40-49,M,Kaiser Permanente,126,4.1,7547,0.203
40-49,M,Kaiser Permanente,96,7.6,10615,0.216
40-49,M,Kaiser Permanente,72,6.7,5331,0.142
40-49,M,Kaiser Permanente,237,5.3,3423,0.194
40-49,M,Medicaid,142,5.2,4667,0.207
40-49,M,Medicaid,185,6.2,5149,0.188
40-49,M,Medicaid,150,6.8,10669,0.103
40-49,M,Medicaid,79,4.9,6570,0.232
40-49,M,Medicare,251,4.6,4187,0.173
40-49,M,Medicare,161,2.3,5356,0.114
40-49,M,Medicare,171,7.6,8114,0.215
40-49,M,Medicare,251,7.5,7289,0.123
40-49,M,Medicare,66,5.1,11707,0.21
40-49,M,Medicare,218,5.8,8200,0.154
40-49,M,Medicare,122,6.7,7943,0.163
40-49,M,Medicare,166,7.2,9462,0.118
40-49,M,Molina Healthcare,182,6.5,3409,0.198
40-49,M,Molina Healthcare,122,2.3,7200,0.244
40-49,M,Molina Healthcare,164,6.3,10065,0.169
40-49,M,Molina Healthcare,265,4.5,6401,0.131
40-49,M,Molina Healthcare,140,7.1,11480,0.24
40-49,M,Molina Healthcare,91,5.3,4620,0.208
40-49,M,Molina Healthcare,228,2.7,7269,0.244
40-49,M,Molina Healthcare,219,3.1,6116,0.167
40-49,M,Tricare,251,5.1,7766,0.147
40-49,M,UnitedHealthcare,151,2.4,5383,0.136
40-49,M,UnitedHealthcare,84,5.6,11730,0.235
40-49,M,UnitedHealthcare,166,3.1,3555,0.177
40-49,M,UnitedHealthcare,179,2.7,8173,0.184
40-49,M,UnitedHealthcare,154,5.7,10052,0.197
40-49,M,UnitedHealthcare,88,5.7,8670,0.227
50-59,F,Aetna,234,7.5,8315,0.23
50-59,F,Aetna,271,5.5,5487,0.157
50-59,F,Aetna,241,4.3,10808,0.118
50-59,F,Aetna,127,5.0,5943,0.125
50-59,F,Aetna,257,6.3,9083,0.179
50-59,F,Aetna,121,3.5,8608,0.183
50-59,F,Anthem,152,6.7,10837,0.15
50-59,F,Anthem,131,2.3,11112,0.13
50-59,F,Anthem,206,6.4,8463,0.236
50-59,F,Blue Cross Blue Shield,255,3.9,9181,0.146
50-59,F,Cigna,115,3.9,9914,0.203
50-59,F,Cigna,204,4.0,6557,0.125
50-59,F,Cigna,239,5.7,4264,0.143
50-59,F,Cigna,236,5.6,9458,0.203
50-59,F,Cigna,181,4.3,4496,0.185
50-59,F,Cigna,225,4.6,8195,0.222
50-59,F,Cigna,245,3.4,5554,0.174
50-59,F,Cigna,144,2.3,11168,0.206
50-59,F,Health Net,256,6.7,7710,0.238
50-59,F,Health Net,94,7.3,10891,0.227
50-59,F,Health Net,170,2.5,10651,0.204
50-59,F,Health Net,71,4.5,9869,0.114
50-59,F,Humana,177,2.4,5848,0.131
50-59,F,Kaiser Permanente,208,5.9,3272,0.124
50-59,F,Kaiser Permanente,242,6.0,5058,0.143
50-59,F,Kaiser Permanente,104,6.7,6126,0.236
50-59,F,Kaiser Permanente,144,4.8,8189,0.16
50-59,F,Kaiser Permanente,169,5.1,6060,0.203
50-59,F,Kaiser Permanente,197,2.5,10723,0.103
50-59,F,Kaiser Permanente,196,3.2,7961,0.137
50-59,F,Kaiser Permanente,117,5.3,5386,0.249
50-59,F,Kaiser Permanente,252,5.1,9770,0.185
50-59,F,Kaiser Permanente,170,5.3,7692,0.208
50-59,F,Medicaid,182,3.0,9707,0.213
50-59,F,Medicaid,58,5.6,6434,0.201
